experience,age,projects_completed,hours_per_week,job_role,education_level,location,salary
10,37,6,49,DL Engineer,Master's,Suburban,59143
3,32,44,48,Data Scientist,Bachelor's,Urban,61845
1,24,36,43,ML Engineer,PhD,Rural,51151
10,33,23,36,Analyst,Master's,Rural,64947
1,28,31,58,ML Engineer,Bachelor's,Rural,49691
17,39,11,44,ML Engineer,PhD,Urban,79774
12,38,39,38,Data Scientist,Bachelor's,Rural,63809
8,35,2,27,ML Engineer,PhD,Urban,58858
4,26,11,59,AI Specialist,Bachelor's,Urban,54195
7,31,42,57,DL Engineer,Master's,Rural,67666
17,44,20,31,ML Engineer,Master's,Suburban,82373
18,45,48,51,DL Engineer,PhD,Suburban,73978
16,44,21,45,DL Engineer,Master's,Urban,80959
2,29,30,53,Data Scientist,PhD,Urban,48853
11,34,39,53,Analyst,Bachelor's,Urban,66328
10,35,36,48,ML Engineer,PhD,Urban,75660
19,47,16,56,Data Scientist,PhD,Suburban,89444
2,26,20,41,AI Specialist,Master's,Rural,55363
17,39,32,22,Data Scientist,Bachelor's,Suburban,73543
3,30,13,59,Analyst,Bachelor's,Urban,54635
9,33,7,44,Analyst,Bachelor's,Urban,59607
3,28,33,41,ML Engineer,Bachelor's,Suburban,61060
19,41,33,52,DL Engineer,Bachelor's,Urban,85737
15,40,12,56,Data Scientist,Bachelor's,Urban,79592
6,32,45,32,Analyst,Bachelor's,Rural,60092
14,37,13,30,AI Specialist,PhD,Suburban,71401
17,44,34,40,Data Scientist,PhD,Urban,84817
5,30,14,31,ML Engineer,PhD,Urban,54066
13,39,5,31,Data Scientist,Bachelor's,Rural,77509
4,27,33,21,Analyst,Bachelor's,Urban,61499
18,41,39,51,Analyst,Master's,Rural,74123
19,46,6,40,Data Scientist,PhD,Suburban,84305
2,24,36,46,Data Scientist,Bachelor's,Suburban,45693
7,29,19,37,DL Engineer,Master's,Suburban,53340
18,46,24,29,DL Engineer,Master's,Urban,88821
2,31,27,47,Data Scientist,Bachelor's,Urban,49754
14,41,27,34,Data Scientist,Bachelor's,Rural,72693
13,39,35,22,Analyst,Master's,Rural,62156
5,28,7,44,Data Scientist,Bachelor's,Suburban,50090
8,37,45,21,AI Specialist,Master's,Urban,52666
8,31,48,55,ML Engineer,PhD,Suburban,71395
12,38,16,54,Data Scientist,Bachelor's,Suburban,67435
1,23,11,56,Analyst,Master's,Suburban,46310
7,30,1,24,Data Scientist,Bachelor's,Rural,51855
14,43,23,34,ML Engineer,PhD,Rural,73477
8,37,25,43,Analyst,Bachelor's,Suburban,53437
1,23,9,32,Data Scientist,PhD,Urban,40186
4,32,33,26,AI Specialist,Master's,Rural,43219
12,35,46,43,DL Engineer,Master's,Suburban,71783
12,38,42,27,Analyst,Bachelor's,Rural,72891
7,36,34,58,DL Engineer,PhD,Urban,63139
17,42,28,37,ML Engineer,Master's,Urban,72556
4,29,33,24,ML Engineer,Bachelor's,Urban,57589
13,35,7,56,Analyst,Bachelor's,Suburban,69459
3,27,0,48,Data Scientist,PhD,Rural,52167
5,34,5,27,Data Scientist,Bachelor's,Suburban,53798
14,39,31,54,Analyst,Bachelor's,Rural,68293
16,42,0,46,DL Engineer,PhD,Suburban,77018
16,41,36,42,Analyst,PhD,Urban,71123
17,43,43,47,DL Engineer,Master's,Rural,79509
12,40,43,49,Analyst,Bachelor's,Urban,73741
9,34,10,37,DL Engineer,Master's,Rural,58592
7,29,29,58,DL Engineer,Master's,Rural,56884
2,28,8,29,Analyst,Master's,Rural,38474
7,29,7,32,Analyst,Master's,Rural,51245
1,26,44,51,Data Scientist,Master's,Rural,57551
9,31,34,32,Analyst,Master's,Suburban,59353
1,27,27,33,DL Engineer,PhD,Suburban,55954
16,41,38,42,AI Specialist,PhD,Urban,75723
10,39,34,35,AI Specialist,Bachelor's,Urban,67094
4,32,22,23,ML Engineer,Master's,Suburban,49366
9,36,17,47,Analyst,Master's,Suburban,55302
19,47,35,22,DL Engineer,Master's,Urban,81311
2,24,0,33,ML Engineer,PhD,Suburban,47741
15,41,0,49,DL Engineer,Master's,Rural,63587
4,30,22,45,Data Scientist,Master's,Suburban,56376
4,33,34,55,ML Engineer,Bachelor's,Urban,47846
16,41,26,23,Analyst,Bachelor's,Urban,79074
10,38,7,36,Data Scientist,Master's,Rural,67564
6,32,13,30,Analyst,PhD,Urban,49014
10,32,28,39,Analyst,PhD,Urban,62677
7,33,2,34,AI Specialist,Master's,Rural,53066
19,44,49,22,AI Specialist,Bachelor's,Rural,85023
9,37,39,58,ML Engineer,Master's,Urban,55499
3,25,32,37,DL Engineer,Bachelor's,Rural,58931
6,30,16,31,Data Scientist,PhD,Urban,56665
16,38,46,22,DL Engineer,Master's,Suburban,68805
5,29,5,31,Analyst,PhD,Rural,60450
12,40,28,51,Analyst,Bachelor's,Rural,67739
12,37,28,39,AI Specialist,Master's,Urban,65215
8,32,27,39,Data Scientist,Bachelor's,Rural,57264
9,31,32,36,ML Engineer,Master's,Suburban,63070
8,30,41,33,ML Engineer,Master's,Rural,52838
8,34,40,54,ML Engineer,Bachelor's,Suburban,52976
4,31,43,41,ML Engineer,Bachelor's,Rural,48285
17,44,38,22,Analyst,Master's,Urban,88076
7,35,19,31,Data Scientist,Bachelor's,Rural,63691
11,34,37,47,AI Specialist,PhD,Urban,59569
4,32,24,57,DL Engineer,Master's,Rural,53892
19,47,34,42,DL Engineer,PhD,Rural,89999
5,34,23,53,DL Engineer,Bachelor's,Rural,53257
3,28,19,52,DL Engineer,Bachelor's,Urban,47980
15,38,49,40,ML Engineer,Master's,Rural,78767
2,31,46,22,DL Engineer,Master's,Urban,41904
17,44,3,44,Data Scientist,Bachelor's,Suburban,85508
9,33,21,55,DL Engineer,PhD,Rural,57806
1,23,9,56,Data Scientist,Master's,Rural,44927
14,37,24,49,ML Engineer,Master's,Rural,66213
11,40,4,45,AI Specialist,Bachelor's,Suburban,55878
19,48,26,30,ML Engineer,Master's,Rural,88337
12,41,20,49,ML Engineer,Master's,Urban,73973
4,28,9,42,AI Specialist,Master's,Rural,48269
5,27,4,36,AI Specialist,Bachelor's,Urban,52168
13,41,36,31,Data Scientist,Master's,Rural,70733
16,38,39,37,ML Engineer,PhD,Suburban,77514
18,41,31,55,ML Engineer,Bachelor's,Urban,84571
2,26,12,54,AI Specialist,Bachelor's,Suburban,44542
7,31,39,38,DL Engineer,PhD,Suburban,52237
8,35,34,53,DL Engineer,PhD,Rural,71201
1,30,40,33,ML Engineer,PhD,Suburban,57246
3,32,48,29,DL Engineer,PhD,Suburban,54508
13,36,25,48,Data Scientist,Master's,Suburban,66622
3,32,48,29,DL Engineer,Bachelor's,Rural,51638
1,29,49,46,Data Scientist,Master's,Urban,57791
5,32,16,52,AI Specialist,Bachelor's,Urban,56802
4,26,19,37,Analyst,Master's,Urban,61142
10,32,37,51,DL Engineer,Bachelor's,Rural,75417
16,43,0,45,AI Specialist,Bachelor's,Urban,83807
17,39,16,39,AI Specialist,Master's,Urban,69807
5,32,6,36,Analyst,PhD,Suburban,44405
11,35,33,49,Data Scientist,Bachelor's,Suburban,71663
5,32,43,21,ML Engineer,Bachelor's,Rural,54415
19,42,18,33,DL Engineer,PhD,Urban,91093
5,27,25,56,Analyst,Bachelor's,Rural,62264
2,26,11,56,AI Specialist,Master's,Suburban,54562
4,30,15,41,AI Specialist,Bachelor's,Rural,51294
13,40,22,57,ML Engineer,PhD,Rural,71809
12,35,31,57,Analyst,Bachelor's,Suburban,77858
18,45,1,34,Data Scientist,Bachelor's,Rural,75735
17,45,47,32,DL Engineer,Master's,Rural,75028
14,37,21,32,DL Engineer,Bachelor's,Rural,67545
19,47,28,20,AI Specialist,Bachelor's,Urban,89956
11,33,44,29,Data Scientist,Master's,Rural,68545
3,25,46,53,DL Engineer,PhD,Urban,59461
14,41,47,36,Data Scientist,Master's,Suburban,64525
1,23,48,48,DL Engineer,Bachelor's,Urban,49543
14,42,21,54,DL Engineer,Master's,Urban,80422
18,44,36,49,Analyst,Master's,Urban,89129
3,30,21,27,ML Engineer,PhD,Suburban,51874
15,40,35,41,AI Specialist,PhD,Suburban,70311
17,44,8,33,DL Engineer,Bachelor's,Rural,79446
8,35,7,20,ML Engineer,Bachelor's,Rural,64373
2,30,13,48,ML Engineer,Master's,Urban,55311
13,38,38,55,DL Engineer,Master's,Suburban,72371
17,46,13,32,AI Specialist,Master's,Suburban,68281
16,39,33,41,ML Engineer,PhD,Urban,72924
18,46,13,32,Analyst,Master's,Rural,83382
16,41,3,39,Data Scientist,Master's,Suburban,76206
17,44,32,58,Analyst,Master's,Urban,87176
12,40,3,27,DL Engineer,Master's,Rural,61101
8,33,46,22,ML Engineer,PhD,Urban,56885
17,42,8,21,ML Engineer,Master's,Rural,72270
12,35,18,48,DL Engineer,Bachelor's,Urban,69746
4,31,20,29,Analyst,Master's,Rural,57356
1,26,23,32,ML Engineer,Bachelor's,Suburban,47386
19,48,0,25,Data Scientist,Master's,Urban,75068
1,24,18,36,Data Scientist,Master's,Rural,42611
6,33,1,58,DL Engineer,PhD,Rural,47808
19,44,22,50,Data Scientist,Master's,Suburban,92567
9,38,7,29,AI Specialist,Bachelor's,Suburban,68664
12,34,22,38,AI Specialist,Master's,Suburban,61767
9,33,45,44,Data Scientist,Master's,Urban,73887
5,33,41,26,Data Scientist,PhD,Rural,50971
4,26,10,51,ML Engineer,PhD,Rural,47489
16,44,46,39,Analyst,Bachelor's,Rural,85758
12,40,26,24,Analyst,Bachelor's,Rural,76491
8,33,20,27,ML Engineer,Master's,Urban,57009
14,39,15,27,Analyst,PhD,Rural,73115
15,37,18,44,Data Scientist,Master's,Rural,64215
16,38,29,32,ML Engineer,Master's,Urban,83558
12,36,4,44,ML Engineer,Master's,Rural,68906
17,41,21,50,Data Scientist,Bachelor's,Urban,76466
6,32,29,48,ML Engineer,Master's,Rural,53637
16,44,43,47,ML Engineer,PhD,Urban,79680
11,37,40,50,DL Engineer,PhD,Urban,69140
17,46,0,24,Data Scientist,Bachelor's,Urban,75721
19,41,20,50,Data Scientist,Bachelor's,Urban,85320
7,36,6,56,Data Scientist,PhD,Urban,48780
3,28,39,36,AI Specialist,PhD,Urban,51521
19,43,30,42,AI Specialist,Master's,Urban,83480
14,38,3,20,DL Engineer,Bachelor's,Suburban,70890
4,30,36,58,Data Scientist,PhD,Suburban,62883
1,27,43,52,Data Scientist,Bachelor's,Suburban,40832
3,26,6,42,Data Scientist,PhD,Rural,50549
14,38,17,39,AI Specialist,Master's,Urban,76843
15,40,16,54,AI Specialist,Master's,Rural,83503
2,28,6,49,AI Specialist,Bachelor's,Urban,50429
12,37,37,56,ML Engineer,Bachelor's,Rural,78306
5,34,35,52,Analyst,PhD,Urban,53918
14,38,22,37,Data Scientist,PhD,Urban,62769
13,40,39,21,DL Engineer,Bachelor's,Suburban,74184
19,48,8,43,ML Engineer,Master's,Suburban,78072
2,30,37,32,AI Specialist,Master's,Urban,52082
1,30,46,34,DL Engineer,Master's,Rural,54599
2,27,20,56,Analyst,Master's,Urban,58502
12,36,21,49,ML Engineer,PhD,Suburban,69091
8,31,1,36,DL Engineer,Bachelor's,Suburban,59850
16,42,30,32,AI Specialist,PhD,Urban,78304
10,34,25,53,ML Engineer,PhD,Rural,71070
10,33,35,43,AI Specialist,PhD,Suburban,63894
15,37,39,46,Data Scientist,PhD,Suburban,84468
5,28,44,28,Data Scientist,Master's,Suburban,55597
8,34,37,54,AI Specialist,PhD,Rural,65137
5,31,36,39,Data Scientist,Bachelor's,Rural,49192
7,33,6,48,Analyst,Master's,Rural,49092
3,26,29,54,ML Engineer,PhD,Urban,49875
13,41,1,35,AI Specialist,Bachelor's,Rural,72644
9,31,23,41,ML Engineer,Bachelor's,Urban,63210
14,36,16,50,DL Engineer,PhD,Urban,73857
7,31,4,53,AI Specialist,PhD,Urban,52615
4,31,25,48,AI Specialist,Bachelor's,Suburban,62440
16,39,8,43,ML Engineer,Bachelor's,Rural,71092
4,31,14,59,Data Scientist,PhD,Suburban,48182
13,40,32,43,Analyst,Master's,Rural,72740
3,25,1,57,DL Engineer,PhD,Suburban,43677
14,40,9,34,ML Engineer,Bachelor's,Suburban,68824
16,44,29,58,AI Specialist,Master's,Rural,73437
12,39,44,54,ML Engineer,PhD,Suburban,70356
3,32,26,43,ML Engineer,Bachelor's,Suburban,51100
